# ========
# captured on: Sat Nov 14 22:28:12 2015
# hostname : LeoMa-ThinkPad-T440
# os release : 3.13.0-57-generic
# perf version : 3.13.11-ckt21
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz
# cpuid : GenuineIntel,6,69,1
# total memory : 3748808 kB
# cmdline : /usr/lib/linux-tools-3.13.0-57/perf record ./show-last-commit.sh 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 28120863440
#
# Overhead  Command       Shared Object                                               Symbol
# ........  .......  ..................  ...................................................
#
     0.05%      log  libgit2.so.0.23.0   [.] tree_iterator__set_next                        
     0.04%      log  libgit2.so.0.23.0   [.] git_atomic_inc                                 
     0.04%      log  libgit2.so.0.23.0   [.] git_commit_list_time_cmp                       
     0.04%      log  libgit2.so.0.23.0   [.] git__unescape                                  
     0.04%      log  libgit2.so.0.23.0   [.] git_object__from_odb_object                    
     0.04%      log  libgit2.so.0.23.0   [.] cache_get                                      
     0.04%      log  libgit2.so.0.23.0   [.] git_config__cvar                               
     0.04%      log  libgit2.so.0.23.0   [.] pack_entry_find_offset                         
     0.04%      log  libgit2.so.0.23.0   [.] git__bsearch_r                                 
     0.04%      log  libgit2.so.0.23.0   [.] git_attr_fnmatch__parse                        
     0.04%      log  libpthread-2.19.so  [.] pthread_rwlock_unlock                          
     0.04%      log  libpthread-2.19.so  [.] pthread_rwlock_rdlock                          
     0.04%      log  libgit2.so.0.23.0   [.] tree_iterator__update_entry                    
     0.04%      log  libgit2.so.0.23.0   [.] config_refresh                                 
     0.04%      log  libgit2.so.0.23.0   [.] git_config_snapshot                            
     0.04%      log  libgit2.so.0.23.0   [.] config_get                                     
     0.04%      log  libgit2.so.0.23.0   [.] git_vector_sort                                
     0.04%      log  libgit2.so.0.23.0   [.] diff_list_apply_options                        
     0.03%      log  libgit2.so.0.23.0   [.] git_tree_entry__is_tree                        
     0.03%      log  libgit2.so.0.23.0   [.] kh_get_oid                                     
     0.03%      log  libgit2.so.0.23.0   [.] git_oid__cmp                                   
     0.03%      log  libgit2.so.0.23.0   [.] git_packfile_unpack                            
     0.03%      log  libgit2.so.0.23.0   [.] git_object_lookup_prefix                       
     0.03%      log  libgit2.so.0.23.0   [.] git_mwindow_close                              
     0.03%      log  libgit2.so.0.23.0   [.] git_oid_equal                                  
     0.03%      log  libgit2.so.0.23.0   [.] cache_get                                      
     0.03%      log  libgit2.so.0.23.0   [.] git_mwindow_open                               
     0.03%      log  libgit2.so.0.23.0   [.] git_oid__hashcmp                               
     0.03%      log  libgit2.so.0.23.0   [.] git__prefixcmp                                 
     0.03%      log  libgit2.so.0.23.0   [.] packfile_unpack_compressed                     
     0.03%      log  libgit2.so.0.23.0   [.] git_atomic_dec                                 
     0.03%      log  libgit2.so.0.23.0   [.] git_cached_obj_decref                          
     0.03%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.03%      log  libgit2.so.0.23.0   [.] git_oid_iszero                                 
     0.03%      log  libgit2.so.0.23.0   [.] git_signature__parse                           
     0.03%      log  libgit2.so.0.23.0   [.] git_buf_free                                   
     0.03%      log  libgit2.so.0.23.0   [.] hdr_sz                                         
     0.03%      log  libgit2.so.0.23.0   [.] tree_iterator__pop_frame                       
     0.03%      log  libgit2.so.0.23.0   [.] git_buf_truncate                               
